field,source_column,packed_s32,packed_u32_hex,bits_31_30,bits_29_20,bits_19_10,bits_9_0,row_count
offHand,0x1A,59771934,0x03900C1E,0,57,3,30,10
offHand,0x1A,59771944,0x03900C28,0,57,3,40,1
offHand,0x1A,59772928,0x03901000,0,57,4,0,27
offHand,0x1A,59772929,0x03901001,0,57,4,1,1
offHand,0x1A,59772930,0x03901002,0,57,4,2,1
offHand,0x1A,59772948,0x03901014,0,57,4,20,18
offHand,0x1A,59772958,0x0390101E,0,57,4,30,5
offHand,0x1A,59772969,0x03901029,0,57,4,41,2
offHand,0x1A,59772978,0x03901032,0,57,4,50,1
offHand,0x1A,60789760,0x039F9400,0,57,997,0,1
offHand,0x1A,60818482,0x03A00432,0,58,1,50,2
offHand,0x1A,61867008,0x03B00400,0,59,1,0,1
offHand,0x1A,61867018,0x03B0040A,0,59,1,10,2
offHand,0x1A,61867038,0x03B0041E,0,59,1,30,2
offHand,0x1A,61867048,0x03B00428,0,59,1,40,3
offHand,0x1A,61867058,0x03B00432,0,59,1,50,20
offHand,0x1A,61867068,0x03B0043C,0,59,1,60,1
offHand,0x1A,61867078,0x03B00446,0,59,1,70,3
offHand,0x1A,66061312,0x03F00400,0,63,1,0,3
offHand,0x1A,79693824,0x04C00800,0,76,2,0,1
offHand,0x1A,79698944,0x04C01C00,0,76,7,0,1
offHand,0x1A,147859456,0x08D02800,0,141,10,0,1
offHand,0x1A,168821760,0x0A100400,0,161,1,0,3
offHand,0x1A,168821770,0x0A10040A,0,161,1,10,2
offHand,0x1A,236979200,0x0E200400,0,226,1,0,34
offHand,0x1A,236979210,0x0E20040A,0,226,1,10,230
offHand,0x1A,236982273,0x0E201001,0,226,4,1,1
offHand,0x1A,243270686,0x0E80041E,0,232,1,30,3
offHand,0x1A,243270706,0x0E800432,0,232,1,50,1
offHand,0x1A,331351042,0x13C00402,0,316,1,2,1
offHand,0x1A,716178432,0x2AB00400,0,683,1,0,2
offHand,0x1A,731907072,0x2BA00400,0,698,1,0,1
offHand,0x1A,731907073,0x2BA00401,0,698,1,1,2
offHand,0x1A,731907074,0x2BA00402,0,698,1,2,1
offHand,0x1A,747635714,0x2C900402,0,713,1,2,2
offHand,0x1A,753927168,0x2CF00400,0,719,1,0,1
offHand,0x1A,815793163,0x30A0040B,0,778,1,11,1
offHand,0x1A,826278913,0x31400401,0,788,1,1,1
offHand,0x1A,826278914,0x31400402,0,788,1,2,1
offHand,0x1A,944776192,0x38502400,0,901,9,0,1
offHand,0x1A,944804864,0x38509400,0,901,37,0,1
offHand,0x1A,945816576,0x38600400,0,902,1,0,2
offHand,0x1A,953159680,0x38D01000,0,909,4,0,1
offHand,0x1A,953160704,0x38D01400,0,909,5,0,1
offHand,0x1A,954206208,0x38E00800,0,910,2,0,1
spMainHand,0x1B,0,0x00000000,0,0,0,0,7830
spMainHand,0x1B,955253760,0x38F00400,0,911,1,0,1
spOffHand,0x1C,0,0x00000000,0,0,0,0,7831
throwing,0x1D,0,0x00000000,0,0,0,0,7828
throwing,0x1D,944769024,0x38500800,0,901,2,0,1
throwing,0x1D,950010880,0x38A00400,0,906,1,0,1
throwing,0x1D,953160704,0x38D01400,0,909,5,0,1
pack,0x1E,0,0x00000000,0,0,0,0,7601
pack,0x1E,231736330,0x0DD0040A,0,221,1,10,1
pack,0x1E,231736331,0x0DD0040B,0,221,1,11,88
pack,0x1E,231736332,0x0DD0040C,0,221,1,12,33
pack,0x1E,231736333,0x0DD0040D,0,221,1,13,2
pack,0x1E,231736350,0x0DD0041E,0,221,1,30,24
pack,0x1E,231736351,0x0DD0041F,0,221,1,31,70
pack,0x1E,231736352,0x0DD00420,0,221,1,32,2
pack,0x1E,231736353,0x0DD00421,0,221,1,33,2
pack,0x1E,231736360,0x0DD00428,0,221,1,40,5
pack,0x1E,231736361,0x0DD00429,0,221,1,41,1
pack,0x1E,231737384,0x0DD00828,0,221,2,40,1
pack,0x1E,231737405,0x0DD0083D,0,221,2,61,1
pouch,0x1F,0,0x00000000,0,0,0,0,7831
